商品名,JAN,Type,希望小売価格,UMAP1,UMAP2,Z_甘味,Z_渋味,Z_酸味,Z_ボディ
ラ　フラウタ　デ　バルトロ　ブランコ,4935919072069,White,1400.0,4.769777,5.2528896,0.04584839537514832,0.07196969696969696,0.4009426847662142,0.13928402218167985
オノロ　ベラ　ルエダ,4935919072076,White,1900.0,6.093809,3.0029433,0.042854383399100415,0.06439393939393939,0.4149321266968326,0.14990459920944257
ガバルダ　シャルドネ,4935919072083,White,1400.0,5.291646,5.2211394,0.061053009188995276,0.13636363636363635,0.22115384615384617,0.1960417570352819
オノロ　ベラ　フミーリャ　モナストレル,4935919072304,Red,1900.0,10.682428,5.457875,0.05989403681117028,0.6742424242424242,0.11538461538461538,0.41411044739903985
オノロ　ベラ　オーガニック,4935919072311,Red,1900.0,10.78693,5.6351337,0.0605839013217804,0.7234848484848484,0.1173076923076923,0.4331624142836528
オノロ　ベラ　リオハ,4935919072472,Red,1900.0,7.958703,3.7074475,0.04953227186180634,0.5151515151515151,0.07307692307692307,0.36029248713734435
ゴタ　デ　アレーナ,4935919072571,Red,2000.0,7.837223,3.381865,0.04446866635392809,0.6363636363636364,0.0,0.45195874453893614
エル　フィスゴン　ルエダ　ベルデホ,4935919072663,White,2000.0,6.2779355,3.72445,0.05183641932724413,0.125,0.3537330316742081,0.18927079961495563
シゲ　アル　コネホ　ブランコ　マカベオ,4935919072670,White,1500.0,4.443079,4.2011747,0.054375120726289354,0.1893939393939394,0.2903846153846154,0.16328101008234705
エル　ニーニョ　イ　ラ　ルナ　ブランコ,4935919072687,White,1650.0,4.370767,4.783751,0.06335715665443306,0.11742424242424242,0.5369155354449473,0.12001611694372309
シゲ　アル　コネホ　ブランコ　ガルナッチャ,4935919072694,Red,1500.0,9.653356,6.5101914,0.07164932807196667,0.6704545454545454,0.09615384615384617,0.4587506403196957
エル　ニーニョ　イ　ラ　ルナ　ティント,4935919072700,Red,1650.0,9.626875,5.2737565,0.044234112420320645,0.7159090909090908,0.18846153846153849,0.40922328923690293
ドラゴン　カバ　グラン　トラディション　ブルット,4935919072830,Spa,1500.0,6.5011187,4.534647,0.1985706007340158,0.15530303030303028,0.46538461538461545,0.13831493331073405
エル　ネン　デル　セラー,4935919072847,Red,1900.0,9.031985,6.0072203,0.05321614834846435,0.4128787878787879,0.09068627450980392,0.34177526039340417
エル　ビヒア　デ　ラ　アタラヤ　オーガニック,4935919072854,Red,2000.0,9.805784,4.5583754,0.24027980904550345,0.875,0.075,0.6711119236182014
コモロコ　オーガニック　SO2無添加,4935919072946,Red,2000.0,10.786176,5.7984657,0.07809266260106515,0.7992424242424242,0.05769230769230771,0.5289406223526789
シゲ　アル　コネホ　ブランコ　ブルット,4935919072977,Spa,1600.0,5.8925624,5.131478,0.3148955545130936,0.10227272727272728,0.5103318250377075,0.23649972378152198
メディオディア　ロサド,4935919073011,Rose,1700.0,10.508781,4.5476418,0.07395347553740445,0.4431818181818181,0.37243589743589756,0.23230471037306458
マナデーロ　コレクシオン　デ　パルセラス,4935919073028,Red,2000.0,10.501294,4.6099358,0.06312260272082562,0.7348484848484848,0.16923076923076924,0.40479844820295474
ラ　ヴァディーナ,4935919073035,Red,1900.0,8.01485,3.8085234,0.06749634371809377,0.5189393939393939,0.2962292609351433,0.31896032931859447
オノロ　ベラ　ロサド,4935919073042,Rose,1900.0,4.290328,4.0885305,0.05276083777146168,0.21590909090909088,0.44645550527903477,0.15217021126141733
カステロ　アフルタード　テンプラニーリョ,4935919073059,Red,1800.0,10.716875,4.9761066,0.08362537597615828,0.7159090909090908,0.05961538461538463,0.47390733089112197
カベルネ　ソーヴィニヨン　グラン　レセルバ,4935919080118,Red,1800.0,9.646198,6.0219364,0.06012859074477772,0.7196969696969696,0.1990950226244344,0.41749807661411653
ラ　ミシオン　デ　ピルケ　シャルドネ　レセルバ,4935919080163,White,1400.0,4.6591744,3.9749756,0.04746267832997599,0.23484848484848483,0.4791101055806939,0.19476636250458587
エスピノ　カベルネ　ソーヴィニヨン,4935919080200,Red,2000.0,10.414777,6.1544313,0.03824608846822483,0.9204545454545455,0.12518853695324283,0.4428676053477643
ソーヴィニヨン　ブラン　レセルバ,4935919080293,White,1500.0,4.2743773,4.504019,0.08962719721846628,0.20833333333333334,0.5531674208144797,0.16030015424970528
サンジョヴェーゼ　レセルバ,4935919080316,Red,1600.0,10.247495,5.1861796,0.12878390684069646,0.678030303030303,0.3385746606334841,0.37216310160320876
ラ　ミシオン　デ　ピルケ　カベルネ　ソーヴィニヨン　レセルバ,4935919080354,Red,1400.0,8.319801,4.550044,0.06611661469687354,0.75,0.21568627450980396,0.4007944719657058
ヴィオニエ　レセルバ,4935919080378,White,1500.0,5.135799,4.9772553,0.1117442534286266,0.0946969696969697,0.46052036199095026,0.15418781994852568
メルロ　レセルバ,4935919080385,Red,1600.0,10.212849,5.35773,0.09514611330334721,1.0,0.11153846153846153,0.5304642424227881
シャルドネ　レセルバ,4935919080392,White,1600.0,4.642446,4.4754844,0.12464471977703577,0.12121212121212122,0.49464555052790354,0.14482494983439792
エスピノ シャルドネ,4935919080415,White,2100.0,4.2418547,4.7768955,0.06865531609591875,0.2537878787878788,0.55,0.18256752828289977
ペドロ　ヒメネス　レセルバ,4935919080446,White,1400.0,4.5709677,4.448256,0.06197742763321284,0.07575757575757576,0.47756410256410253,0.11646422533523501
ピノ　ノワール　レセルバ,4935919080644,Red,1900.0,7.597021,3.127791,0.08179033637793537,0.5568181818181818,0.1557692307692308,0.4139928143930714
ドンナ　マリア　シラー　アパッシメント,4935919080668,Red,1900.0,10.760053,5.973714,0.20411711139932115,0.8863636363636362,0.1807692307692308,0.5311514558904268
シャルドネ　グラン　レセルバ,4935919080903,White,1700.0,4.2777467,4.326183,0.05736913270233726,0.2727272727272727,0.394343891402715,0.21476846994523005
ピノ　ノワール　グラン　レセルバ,4935919080910,Red,1900.0,9.759462,5.0262437,0.05943872623416761,0.47348484848484845,0.22115384615384617,0.29853043120512945
メルロ　グラン　レセルバ,4935919080927,Red,1800.0,10.425414,5.6017513,0.07164932807196667,0.8446969696969696,0.19807692307692312,0.44838173386383273
ソーヴィニヨン　ブラン　グラン　レセルバ,4935919080965,White,1800.0,4.410545,4.219711,0.07349816496040178,0.2689393939393939,0.3547511312217195,0.18996975346769168
シャトー　デ　ゼサール　ルージュ,4935919092364,Red,1600.0,8.792892,5.5832434,0.09376638428212698,0.8787878787878787,0.16923076923076924,0.45836557874578876
ミュスカデ　セーヴル　エ　メーヌ,4935919094306,White,2000.0,4.9938293,4.353255,0.08525345622119813,0.03787878787878788,0.5139894419306185,0.14637279223814986
ドメーヌ デ オート ウーシュ ロゼ ダンジュ,4935919095303,Rose,1700.0,6.9287167,4.2260146,0.4531719970197853,0.0,0.674396681749623,0.25663111764849383
エリタージュ,4935919098854,Red,1800.0,8.565625,4.7163587,0.034562211981566816,0.5227272727272727,0.1326923076923077,0.36184860020764653
ユルツィガー　ヴュルツガルテン　リースリング　ファインヘルプ,4935919193559,White,2000.0,7.274037,4.4083314,0.5973260851568751,0.13257575757575757,0.726923076923077,0.3219093536938436
ヴァイスブルグンダー　ビショッフスクロイツ　トロッケン,4935919194624,White,2100.0,4.0051823,3.9185612,0.21264383675046222,0.16287878787878787,0.5501885369532429,0.18905358213101492
レッド　ヴィンヤード　ドルンフェルダー,4935919197175,Red,2000.0,7.4120016,4.1492105,0.9147465437788018,0.5113636363636364,0.21957013574660636,0.644171344784248
